The We Store - Huron Church Rd,1800 Huron Church Road,Windsor,Ontario,N9C 2L5,2267836259,Unspecified,https://thewestore.com/,CANN,Edibles,In Stock,Lemon Lavender Tonic | 4-pack,Feb 07 '22,1,0,US$27,"1800 Huron Church Rd, Windsor, ON N9C 2L5, Canada",42.2836507,-83.0549094,1800 Huron Church Rd
Bluebird Cannabis - Almonte,"14 Mill St, Almonte, ON K0A 1A0, Canada",Mississippi Mills,Ontario,K0A 1A0,(613) 461-0091,,http://bluebirdcannabis.store/,CANN,Edibles,In Stock,Blood Orange Cardamom Tonic | 4-pack,Feb 07 '22,1,0,US$28,"14 Mill St, Almonte, ON K0A 1A0, Canada",45.2251272,-76.1976556,14 Mill St
Budders - Ancaster ,1172 Wilson St W Unit 6,Ancaster,Ontario,L9G 3K9,4167632833, info@budderscannabis.com,https://budderscannabis.ca/apps/store-locator,CANN,Edibles,In Stock,Blood Orange Cardamom Tonic | 4-pack,Feb 07 '22,1,0,US$28,"1172 Wilson St W Unit 6, Ancaster, ON L9G 3K9, Canada",43.1965302,-80.0200436,1172 Wilson St W Unit 6
Budders Cannabis,"3466 Dundas St W, York, ON M6S 2P3, Canada",York,Ontario,M6S2P3,(416) 763-2833,info@budderscannabis.com,https://budderscannabis.ca/,CANN,Edibles,In Stock,Blood Orange Cardamom Tonic | 4-pack,Feb 07 '22,1,0,US$28,"3466 Dundas St W, York, ON M6S 2P3, Canada",43.6659363,-79.4874376,3466 Dundas St W
Budders Cannabis - Acton,372 Queen St,Acton,Ontario,L7J 2Y5,5198531444,info@budderscannabis.com,https://budderscannabis.ca/,CANN,Edibles,In Stock,Blood Orange Cardamom Tonic | 4-pack,Feb 07 '22,1,0,US$28,"372 Queen St, Acton, ON L7J 2Y5, Canada",43.6381435,-80.0254591,372 Queen St
Cannabis Stop - Markdale,"2 Toronto St South,",Markdale,Ontario, NOC 1HO,5199861888,info@cannabisstopinc.com,https://cannabisstopinc.com,CANN,Edibles,In Stock,Blood Orange Cardamom Tonic | 4 pack,Feb 07 '22,1,0,US$26,"2 Toronto St S, Markdale, ON N0C 1H0, Canada",44.318499,-80.6481624,Cannabis Stop Inc
Cannabis Stop Inc.,"171 Main St W, Shelburne, ON L9V 3K3, Canada",Shelburne,Ontario,L9V 3K3,(519) 925-5420, info@cannabisstopinc.com,http://www.cannabisstopinc.com/,CANN,Edibles,In Stock,Blood Orange Cardamom Tonic | 4-pack,Feb 07 '22,1,0,US$28,"171 Main St W, Shelburne, ON L0N 1S3, Canada",44.0780196,-80.2054877,171 Main St W
Chrontact Cannabis,"2280 Carling Ave Unit 1, Ottawa, ON K2B 7G1, Canada",Ottawa,Ontario,K2B 7G1,(613) 829-9333,info@chrontact.ca,https://www.chrontact.ca/online/,CANN,Edibles,In Stock,Blood Orange Cardamom Tonic | 4-pack,Feb 07 '22,1,0,US$25,"2280 Carling Ave #1, Ottawa, ON K2B 7G1, Canada",45.3681851,-75.7744004,2280 Carling Ave #1
Curious Cannabis,2140 Dundas Street West,Toronto,Ontario,M6R 1X2,6474033978,Unspecified    ,http://www.curiouscannabis.ca/,CANN,Edibles,In Stock,Blood Orange Cardamom Tonic | 4-pack,Feb 07 '22,1,0,US$25,"2140 Dundas St W, Toronto, ON M6R 1X2, Canada",43.6530268,-79.4494908,2140 Dundas St W
Edition X,"270 Dupont St, Toronto, ON M5R 1V7, Canada",Toronto,Ontario,M5R 1V7,(416) 551-9331,HIGH@helloedition.com,http://www.helloedition.com/,CANN,Edibles,Out of Stock,Blood Orange Cardamom Tonic | 4-pack,Feb 07 '22,1,12,US$28,"270 Dupont St, Toronto, ON M5R 1V7, Canada",43.6750643,-79.4069395,270 Dupont St
